Time (CET),Team 1,Team 2,Score,date,link,season
12:00 AM,Aris BC,OFI Iraklio,106 - 86,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10981/aris-bc-ofi-iraklio-2002-11-09,2002
12:00 AM,Panionios,Near-East,82 - 78,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10989/panionios-near-east-2002-11-09,2002
12:00 AM,Panathinaikos,Peristeri,93 - 74,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10983/panathinaikos-peristeri-2002-11-09,2002
12:00 AM,Olympiacos,Olympia Larissa,93 - 68,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10993/olympiacos-olympia-larissa-2002-11-09,2002
12:00 AM,AEK Athens,Marousi,87 - 78,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10987/aek-athens-marousi-2002-11-09,2002
12:00 AM,Makedonikos,Iraklis,80 - 71,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10991/makedonikos-iraklis-2002-11-09,2002
12:00 AM,Ionikos Lamias,PAOK,84 - 76,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10985/ionikos-lamias-paok-2002-11-09,2002
12:00 AM,OFI Iraklio,Olympia Larissa,72 - 57,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11007/ofi-iraklio-olympia-larissa-2002-11-16,2002
12:00 AM,Peristeri,Aris BC,79 - 70,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10995/peristeri-aris-bc-2002-11-16,2002
12:00 AM,PAOK,Panathinaikos,73 - 77,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10997/paok-panathinaikos-2002-11-16,2002
12:00 AM,Marousi,Ionikos Lamias,74 - 67,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10999/marousi-ionikos-lamias-2002-11-16,2002
12:00 AM,Makedonikos,Olympiacos,87 - 81,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11005/makedonikos-olympiacos-2002-11-16,2002
12:00 AM,Iraklis,Panionios,78 - 76,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11003/iraklis-panionios-2002-11-16,2002
12:00 AM,Near-East,AEK Athens,70 - 75,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11001/near-east-aek-athens-2002-11-16,2002
12:00 AM,Aris BC,PAOK,77 - 72,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11009/aris-bc-paok-2002-11-30,2002
12:00 AM,Panionios,Makedonikos,91 - 110,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11017/panionios-makedonikos-2002-11-30,2002
12:00 AM,Panathinaikos,Marousi,91 - 73,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11011/panathinaikos-marousi-2002-11-30,2002
12:00 AM,Olympiacos,OFI Iraklio,87 - 65,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11019/olympiacos-ofi-iraklio-2002-11-30,2002
12:00 AM,AEK Athens,Iraklis,63 - 62,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11015/aek-athens-iraklis-2002-11-30,2002
12:00 AM,Ionikos Lamias,Near-East,70 - 91,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11013/ionikos-lamias-near-east-2002-11-30,2002
12:00 AM,Olympia Larissa,Peristeri,75 - 68,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11021/olympia-larissa-peristeri-2002-11-30,2002
12:00 AM,Panionios,Olympiacos,78 - 91,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11031/panionios-olympiacos-2002-12-07,2002
12:00 AM,Peristeri,OFI Iraklio,91 - 81,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11035/peristeri-ofi-iraklio-2002-12-07,2002
12:00 AM,PAOK,Olympia Larissa,89 - 82,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11033/paok-olympia-larissa-2002-12-07,2002
12:00 AM,Marousi,Aris BC,78 - 93,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11023/marousi-aris-bc-2002-12-07,2002
12:00 AM,Makedonikos,AEK Athens,64 - 80,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11029/makedonikos-aek-athens-2002-12-07,2002
12:00 AM,Iraklis,Ionikos Lamias,90 - 94,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11027/iraklis-ionikos-lamias-2002-12-07,2002
12:00 AM,Near-East,Panathinaikos,67 - 88,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11025/near-east-panathinaikos-2002-12-07,2002
12:00 AM,Aris BC,Near-East,76 - 66,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11037/aris-bc-near-east-2002-12-14,2002
12:00 AM,OFI Iraklio,PAOK,78 - 81,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11049/ofi-iraklio-paok-2002-12-14,2002
12:00 AM,Panathinaikos,Iraklis,57 - 52,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11039/panathinaikos-iraklis-2002-12-14,2002
12:00 AM,Olympiacos,Peristeri,87 - 67,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11045/olympiacos-peristeri-2002-12-14,2002
12:00 AM,AEK Athens,Panionios,93 - 80,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11043/aek-athens-panionios-2002-12-14,2002
12:00 AM,Ionikos Lamias,Makedonikos,95 - 85,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11041/ionikos-lamias-makedonikos-2002-12-14,2002
12:00 AM,Olympia Larissa,Marousi,59 - 62,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11047/olympia-larissa-marousi-2002-12-14,2002
12:00 AM,Panionios,Ionikos Lamias,87 - 82,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11055/panionios-ionikos-lamias-2002-12-21,2002
12:00 AM,PAOK,Peristeri,86 - 76,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11063/paok-peristeri-2002-12-21,2002
12:00 AM,Marousi,OFI Iraklio,76 - 58,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11061/marousi-ofi-iraklio-2002-12-21,2002
12:00 AM,AEK Athens,Olympiacos,66 - 71,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11057/aek-athens-olympiacos-2002-12-21,2002
12:00 AM,Makedonikos,Panathinaikos,72 - 76,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11053/makedonikos-panathinaikos-2002-12-21,2002
12:00 AM,Iraklis,Aris BC,75 - 77,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11051/iraklis-aris-bc-2002-12-21,2002
12:00 AM,Near-East,Olympia Larissa,84 - 80,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11059/near-east-olympia-larissa-2002-12-21,2002
12:00 AM,Aris BC,Makedonikos,77 - 76,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11073/aris-bc-makedonikos-2003-01-04,2002
12:00 AM,OFI Iraklio,Near-East,88 - 75,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11083/ofi-iraklio-near-east-2003-01-04,2002
12:00 AM,Panathinaikos,Panionios,106 - 78,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11075/panathinaikos-panionios-2003-01-04,2002
12:00 AM,Peristeri,Marousi,90 - 76,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11085/peristeri-marousi-2003-01-04,2002
12:00 AM,Olympiacos,PAOK,94 - 70,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11079/olympiacos-paok-2003-01-04,2002
12:00 AM,Ionikos Lamias,AEK Athens,76 - 85,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11077/ionikos-lamias-aek-athens-2003-01-04,2002
12:00 AM,Olympia Larissa,Iraklis,80 - 62,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11081/olympia-larissa-iraklis-2003-01-04,2002
12:00 AM,Panionios,Aris BC,98 - 82,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11087/panionios-aris-bc-2003-01-11,2002
12:00 AM,Marousi,PAOK,83 - 81,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11099/marousi-paok-2003-01-11,2002
12:00 AM,AEK Athens,Panathinaikos,63 - 41,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11089/aek-athens-panathinaikos-2003-01-11,2002
12:00 AM,Makedonikos,Olympia Larissa,87 - 76,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11093/makedonikos-olympia-larissa-2003-01-11,2002
12:00 AM,Iraklis,OFI Iraklio,96 - 73,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11095/iraklis-ofi-iraklio-2003-01-11,2002
12:00 AM,Near-East,Peristeri,69 - 67,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11097/near-east-peristeri-2003-01-11,2002
12:00 AM,Ionikos Lamias,Olympiacos,73 - 79,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11091/ionikos-lamias-olympiacos-2003-01-11,2002
12:00 AM,Aris BC,Olympiacos,66 - 78,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10953/aris-bc-olympiacos-2002-10-26,2002
12:00 AM,Panionios,PAOK,70 - 87,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10961/panionios-paok-2002-10-26,2002
12:00 AM,Panathinaikos,Olympia Larissa,105 - 79,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10955/panathinaikos-olympia-larissa-2002-10-26,2002
12:00 AM,AEK Athens,Peristeri,61 - 52,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10959/aek-athens-peristeri-2002-10-26,2002
12:00 AM,Makedonikos,Marousi,93 - 85,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10963/makedonikos-marousi-2002-10-26,2002
12:00 AM,Iraklis,Near-East,89 - 78,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10965/iraklis-near-east-2002-10-26,2002
12:00 AM,Ionikos Lamias,OFI Iraklio,98 - 81,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10957/ionikos-lamias-ofi-iraklio-2002-10-26,2002
12:00 AM,OFI Iraklio,Panathinaikos,87 - 89,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10969/ofi-iraklio-panathinaikos-2002-11-02,2002
12:00 AM,Peristeri,Ionikos Lamias,81 - 90,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10971/peristeri-ionikos-lamias-2002-11-02,2002
12:00 AM,PAOK,AEK Athens,68 - 78,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10973/paok-aek-athens-2002-11-02,2002
12:00 AM,Olympiacos,Iraklis,66 - 74,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10979/olympiacos-iraklis-2002-11-02,2002
12:00 AM,Marousi,Panionios,87 - 79,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10975/marousi-panionios-2002-11-02,2002
12:00 AM,Near-East,Makedonikos,82 - 84,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10977/near-east-makedonikos-2002-11-02,2002
12:00 AM,Olympia Larissa,Aris BC,80 - 82,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10967/olympia-larissa-aris-bc-2002-11-02,2002
12:00 AM,Aris BC,OFI Iraklio,106 - 86,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10981/aris-bc-ofi-iraklio-2002-11-09,2002
12:00 AM,Panionios,Near-East,82 - 78,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10989/panionios-near-east-2002-11-09,2002
12:00 AM,Panathinaikos,Peristeri,93 - 74,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10983/panathinaikos-peristeri-2002-11-09,2002
12:00 AM,Olympiacos,Olympia Larissa,93 - 68,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10993/olympiacos-olympia-larissa-2002-11-09,2002
12:00 AM,AEK Athens,Marousi,87 - 78,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10987/aek-athens-marousi-2002-11-09,2002
12:00 AM,Makedonikos,Iraklis,80 - 71,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10991/makedonikos-iraklis-2002-11-09,2002
12:00 AM,Ionikos Lamias,PAOK,84 - 76,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10985/ionikos-lamias-paok-2002-11-09,2002
12:00 AM,OFI Iraklio,Olympia Larissa,72 - 57,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11007/ofi-iraklio-olympia-larissa-2002-11-16,2002
12:00 AM,Peristeri,Aris BC,79 - 70,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10995/peristeri-aris-bc-2002-11-16,2002
12:00 AM,PAOK,Panathinaikos,73 - 77,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10997/paok-panathinaikos-2002-11-16,2002
12:00 AM,Marousi,Ionikos Lamias,74 - 67,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10999/marousi-ionikos-lamias-2002-11-16,2002
12:00 AM,Makedonikos,Olympiacos,87 - 81,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11005/makedonikos-olympiacos-2002-11-16,2002
12:00 AM,Iraklis,Panionios,78 - 76,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11003/iraklis-panionios-2002-11-16,2002
12:00 AM,Near-East,AEK Athens,70 - 75,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11001/near-east-aek-athens-2002-11-16,2002
12:00 AM,Aris BC,PAOK,77 - 72,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11009/aris-bc-paok-2002-11-30,2002
12:00 AM,Panionios,Makedonikos,91 - 110,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11017/panionios-makedonikos-2002-11-30,2002
12:00 AM,Panathinaikos,Marousi,91 - 73,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11011/panathinaikos-marousi-2002-11-30,2002
12:00 AM,Olympiacos,OFI Iraklio,87 - 65,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11019/olympiacos-ofi-iraklio-2002-11-30,2002
12:00 AM,AEK Athens,Iraklis,63 - 62,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11015/aek-athens-iraklis-2002-11-30,2002
12:00 AM,Ionikos Lamias,Near-East,70 - 91,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11013/ionikos-lamias-near-east-2002-11-30,2002
12:00 AM,Olympia Larissa,Peristeri,75 - 68,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11021/olympia-larissa-peristeri-2002-11-30,2002
12:00 AM,Panionios,Olympiacos,78 - 91,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11031/panionios-olympiacos-2002-12-07,2002
12:00 AM,Peristeri,OFI Iraklio,91 - 81,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11035/peristeri-ofi-iraklio-2002-12-07,2002
12:00 AM,PAOK,Olympia Larissa,89 - 82,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11033/paok-olympia-larissa-2002-12-07,2002
12:00 AM,Marousi,Aris BC,78 - 93,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11023/marousi-aris-bc-2002-12-07,2002
12:00 AM,Makedonikos,AEK Athens,64 - 80,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11029/makedonikos-aek-athens-2002-12-07,2002
12:00 AM,Iraklis,Ionikos Lamias,90 - 94,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11027/iraklis-ionikos-lamias-2002-12-07,2002
12:00 AM,Near-East,Panathinaikos,67 - 88,"Saturday, December 7, 2002",https://www.proballers.com/basketball/game/11025/near-east-panathinaikos-2002-12-07,2002
12:00 AM,Aris BC,Near-East,76 - 66,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11037/aris-bc-near-east-2002-12-14,2002
12:00 AM,OFI Iraklio,PAOK,78 - 81,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11049/ofi-iraklio-paok-2002-12-14,2002
12:00 AM,Panathinaikos,Iraklis,57 - 52,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11039/panathinaikos-iraklis-2002-12-14,2002
12:00 AM,Olympiacos,Peristeri,87 - 67,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11045/olympiacos-peristeri-2002-12-14,2002
12:00 AM,AEK Athens,Panionios,93 - 80,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11043/aek-athens-panionios-2002-12-14,2002
12:00 AM,Ionikos Lamias,Makedonikos,95 - 85,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11041/ionikos-lamias-makedonikos-2002-12-14,2002
12:00 AM,Olympia Larissa,Marousi,59 - 62,"Saturday, December 14, 2002",https://www.proballers.com/basketball/game/11047/olympia-larissa-marousi-2002-12-14,2002
12:00 AM,Panionios,Ionikos Lamias,87 - 82,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11055/panionios-ionikos-lamias-2002-12-21,2002
12:00 AM,PAOK,Peristeri,86 - 76,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11063/paok-peristeri-2002-12-21,2002
12:00 AM,Marousi,OFI Iraklio,76 - 58,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11061/marousi-ofi-iraklio-2002-12-21,2002
12:00 AM,AEK Athens,Olympiacos,66 - 71,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11057/aek-athens-olympiacos-2002-12-21,2002
12:00 AM,Makedonikos,Panathinaikos,72 - 76,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11053/makedonikos-panathinaikos-2002-12-21,2002
12:00 AM,Iraklis,Aris BC,75 - 77,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11051/iraklis-aris-bc-2002-12-21,2002
12:00 AM,Near-East,Olympia Larissa,84 - 80,"Saturday, December 21, 2002",https://www.proballers.com/basketball/game/11059/near-east-olympia-larissa-2002-12-21,2002
12:00 AM,Aris BC,Makedonikos,77 - 76,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11073/aris-bc-makedonikos-2003-01-04,2002
12:00 AM,OFI Iraklio,Near-East,88 - 75,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11083/ofi-iraklio-near-east-2003-01-04,2002
12:00 AM,Panathinaikos,Panionios,106 - 78,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11075/panathinaikos-panionios-2003-01-04,2002
12:00 AM,Peristeri,Marousi,90 - 76,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11085/peristeri-marousi-2003-01-04,2002
12:00 AM,Olympiacos,PAOK,94 - 70,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11079/olympiacos-paok-2003-01-04,2002
12:00 AM,Ionikos Lamias,AEK Athens,76 - 85,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11077/ionikos-lamias-aek-athens-2003-01-04,2002
12:00 AM,Olympia Larissa,Iraklis,80 - 62,"Saturday, January 4, 2003",https://www.proballers.com/basketball/game/11081/olympia-larissa-iraklis-2003-01-04,2002
12:00 AM,Panionios,Aris BC,98 - 82,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11087/panionios-aris-bc-2003-01-11,2002
12:00 AM,Marousi,PAOK,83 - 81,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11099/marousi-paok-2003-01-11,2002
12:00 AM,AEK Athens,Panathinaikos,63 - 41,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11089/aek-athens-panathinaikos-2003-01-11,2002
12:00 AM,Makedonikos,Olympia Larissa,87 - 76,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11093/makedonikos-olympia-larissa-2003-01-11,2002
12:00 AM,Iraklis,OFI Iraklio,96 - 73,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11095/iraklis-ofi-iraklio-2003-01-11,2002
12:00 AM,Near-East,Peristeri,69 - 67,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11097/near-east-peristeri-2003-01-11,2002
12:00 AM,Ionikos Lamias,Olympiacos,73 - 79,"Saturday, January 11, 2003",https://www.proballers.com/basketball/game/11091/ionikos-lamias-olympiacos-2003-01-11,2002
12:00 AM,Aris BC,Olympiacos,66 - 78,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10953/aris-bc-olympiacos-2002-10-26,2002
12:00 AM,Panionios,PAOK,70 - 87,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10961/panionios-paok-2002-10-26,2002
12:00 AM,Panathinaikos,Olympia Larissa,105 - 79,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10955/panathinaikos-olympia-larissa-2002-10-26,2002
12:00 AM,AEK Athens,Peristeri,61 - 52,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10959/aek-athens-peristeri-2002-10-26,2002
12:00 AM,Makedonikos,Marousi,93 - 85,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10963/makedonikos-marousi-2002-10-26,2002
12:00 AM,Iraklis,Near-East,89 - 78,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10965/iraklis-near-east-2002-10-26,2002
12:00 AM,Ionikos Lamias,OFI Iraklio,98 - 81,"Saturday, October 26, 2002",https://www.proballers.com/basketball/game/10957/ionikos-lamias-ofi-iraklio-2002-10-26,2002
12:00 AM,OFI Iraklio,Panathinaikos,87 - 89,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10969/ofi-iraklio-panathinaikos-2002-11-02,2002
12:00 AM,Peristeri,Ionikos Lamias,81 - 90,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10971/peristeri-ionikos-lamias-2002-11-02,2002
12:00 AM,PAOK,AEK Athens,68 - 78,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10973/paok-aek-athens-2002-11-02,2002
12:00 AM,Olympiacos,Iraklis,66 - 74,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10979/olympiacos-iraklis-2002-11-02,2002
12:00 AM,Marousi,Panionios,87 - 79,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10975/marousi-panionios-2002-11-02,2002
12:00 AM,Near-East,Makedonikos,82 - 84,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10977/near-east-makedonikos-2002-11-02,2002
12:00 AM,Olympia Larissa,Aris BC,80 - 82,"Saturday, November 2, 2002",https://www.proballers.com/basketball/game/10967/olympia-larissa-aris-bc-2002-11-02,2002
12:00 AM,Aris BC,OFI Iraklio,106 - 86,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10981/aris-bc-ofi-iraklio-2002-11-09,2002
12:00 AM,Panionios,Near-East,82 - 78,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10989/panionios-near-east-2002-11-09,2002
12:00 AM,Panathinaikos,Peristeri,93 - 74,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10983/panathinaikos-peristeri-2002-11-09,2002
12:00 AM,Olympiacos,Olympia Larissa,93 - 68,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10993/olympiacos-olympia-larissa-2002-11-09,2002
12:00 AM,AEK Athens,Marousi,87 - 78,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10987/aek-athens-marousi-2002-11-09,2002
12:00 AM,Makedonikos,Iraklis,80 - 71,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10991/makedonikos-iraklis-2002-11-09,2002
12:00 AM,Ionikos Lamias,PAOK,84 - 76,"Saturday, November 9, 2002",https://www.proballers.com/basketball/game/10985/ionikos-lamias-paok-2002-11-09,2002
12:00 AM,OFI Iraklio,Olympia Larissa,72 - 57,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11007/ofi-iraklio-olympia-larissa-2002-11-16,2002
12:00 AM,Peristeri,Aris BC,79 - 70,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10995/peristeri-aris-bc-2002-11-16,2002
12:00 AM,PAOK,Panathinaikos,73 - 77,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10997/paok-panathinaikos-2002-11-16,2002
12:00 AM,Marousi,Ionikos Lamias,74 - 67,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/10999/marousi-ionikos-lamias-2002-11-16,2002
12:00 AM,Makedonikos,Olympiacos,87 - 81,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11005/makedonikos-olympiacos-2002-11-16,2002
12:00 AM,Iraklis,Panionios,78 - 76,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11003/iraklis-panionios-2002-11-16,2002
12:00 AM,Near-East,AEK Athens,70 - 75,"Saturday, November 16, 2002",https://www.proballers.com/basketball/game/11001/near-east-aek-athens-2002-11-16,2002
12:00 AM,Aris BC,PAOK,77 - 72,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11009/aris-bc-paok-2002-11-30,2002
12:00 AM,Panionios,Makedonikos,91 - 110,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11017/panionios-makedonikos-2002-11-30,2002
12:00 AM,Panathinaikos,Marousi,91 - 73,"Saturday, November 30, 2002",https://www.proballers.com/basketball/game/11011/panathinaikos-marousi-2002-11-30,2002
